"","SID","yearCount","COR","von_datum","bis_datum","Statationshoehe","longitude","latitude","Stationsname","Bundesland","Lage"
"135",2250,65,-0.11989123822859,19410101,20060731,403,49.1279,12.8645,"Höllenstein (Kraftwerk)","Bayern","S"
"136",3621,68,-0.12089952394565,19470101,20150422,435,48.8254,10.5066,"Reimlingen","Bayern","S"
"137",4287,67,-0.120985333593705,19470601,20150422,415,49.3847,10.1732,"Rothenburg ob der Tauber","Bayern","S"
"138",3739,65,-0.121074415410894,19481001,20150422,596,49.452,12.4366,"Oberviechtach","Bayern","S"
"139",3096,54,-0.121267848196938,19400101,19951231,444,51.2131,7.6359,"Lüdenscheid (Zeppelin-Gymnasium)","Nordrhein-Westfalen","W"
"140",3659,48,-0.123105311604185,19470101,19950228,627,50.3391,6.9501,"Nürburg","Rheinland-Pfalz","W"
"141",5654,59,-0.12343076903914,19480701,20071231,464,49.2178,10.2296,"Wörnitz-Bottenweiler","Bayern","S"
"142",2261,68,-0.124327514737524,19470101,20150422,565,50.3122,11.8761,"Hof","Bayern","S"
"143",2925,31,-0.125058297553279,19570101,20150422,356,51.3933,10.3123,"Leinefelde","Thüringen","O"
"144",2750,65,-0.125811889725486,19490101,20150422,312,50.2524,11.3208,"Kronach","Bayern","S"
"145",4818,36,-0.129272315770296,19640401,20001231,598,50.1531,11.7403,"Stammbach-Querenbach","Bayern","S"
"146",5017,66,-0.130974175179648,19480101,20150422,633,50.4002,11.3889,"Teuschnitz","Bayern","S"
"147",4377,50,-0.134875970475859,19650101,20150422,510,50.3519,10.0032,"Sandberg","Bayern","S"
"148",1689,68,-0.135522765198021,19360101,20040630,443,49.7656,11.3061,"Gößweinstein","Bayern","S"
"149",5426,54,-0.13631401879922,19530101,20150422,553,49.3758,8.1213,"Weinbiet","Rheinland-Pfalz","W"
"150",3836,36,-0.136325398412395,19720501,20150422,312,50.4538,10.221,"Ostheim v.d. Rhön","Bayern","S"
"151",703,49,-0.137626977627102,19370101,19850531,5,53.4779,9.1553,"Bremervörde (A)","Niedersachsen","N"
"152",656,64,-0.138710061004579,19360101,20150422,607,51.7234,10.6021,"Braunlage","Niedersachsen","N"
"153",4508,62,-0.1390581926625,19530101,20150422,649,50.2988,6.4165,"Schneifelforsthaus","Rheinland-Pfalz","W"
"154",5559,50,-0.141586565741424,19490101,20010630,385,48.7848,8.5764,"Wildbad, Bad-Calmbach","Baden-Württemberg","S"
"155",535,65,-0.146608544300034,19470101,20150422,417,50.0355,7.3048,"Blankenrath","Rheinland-Pfalz","W"
"156",5149,50,-0.148075540620659,19510301,20150422,308,49.5742,10.1916,"Gollhofen","Bayern","S"
"157",1357,66,-0.151264412784285,19480101,20150422,657,49.9807,11.8376,"Fichtelberg/Oberfranken-Hüttstadl","Bayern","S"
"158",3023,64,-0.156842719522849,19510101,20150422,22,52.5181,7.3081,"Lingen","Niedersachsen","N"
"159",2374,77,-0.176287056897198,18910101,19740630,3,54.4752,9.0564,"Husum","Schleswig-Holstein","N"
"160",3879,49,-0.194666196134023,19480101,19970103,409,48.5779,13.4694,"Passau-Oberhaus","Bayern","S"
"161",5029,30,-0.218736885408502,19750601,20150422,386,49.4738,7.0386,"Tholey","Saarland","W"
"162",851,47,-0.220446140000963,19480201,19960430,389,49.2504,12.604,"Pemfling-Pitzling","Bayern","S"
"163",1,48,NA,19370101,19860630,478,47.8413,8.8493,"Aach","Baden-Württemberg","S"
"164",44,43,NA,19710301,20150422,44,52.9335,8.237,"Großenkneten","Niedersachsen","N"
"165",73,54,NA,19590301,20150422,340,48.6159,13.0506,"Aldersbach-Kriestorf","Bayern","S"
"166",78,53,NA,19610101,20150422,65,52.485,7.9119,"Alfhausen","Niedersachsen","N"
"167",91,36,NA,19781101,20150422,300,50.7446,9.345,"Alsfeld-Eifa","Hessen","W"
"168",150,62,NA,19510101,20150422,215,49.7272,8.116,"Alzey","Rheinland-Pfalz","W"
"169",164,40,NA,19470101,20150422,54,53.0316,13.9907,"Angermünde","Brandenburg","O"
"170",183,40,NA,19470101,20150422,42,54.6792,13.4343,"Arkona","Mecklenburg-Vorpommern","O"
"171",186,52,NA,19470101,19980930,218,51.3773,8.0713,"Arnsberg","Nordrhein-Westfalen","W"
"172",198,37,NA,19540101,20150422,164,51.3745,11.292,"Artern","Thüringen","O"
"173",232,68,NA,19470101,20150422,461,48.4254,10.942,"Augsburg","Bayern","S"
"174",243,48,NA,19580901,20061231,4,53.4621,7.467,"Aurich","Niedersachsen","N"
"175",257,65,NA,19490101,20150422,240,48.727,8.2458,"Baden-Baden-Geroldsau","Baden-Württemberg","S"
"176",259,65,NA,19470101,20150422,273,47.8063,7.6384,"Müllheim","Baden-Württemberg","S"
"177",320,68,NA,19470101,20150422,350,49.9667,11.5197,"Heinersreuth-Vollhof","Bayern","S"
"178",327,34,NA,19620901,19961031,27,53.6234,8.8323,"Bederkesa","Niedersachsen","N"
"179",330,77,NA,19370101,20150422,450,49.5617,8.9679,"Beerfelden","Hessen","W"
"180",355,43,NA,19470101,19891031,140,49.6789,8.6276,"Bensheim","Hessen","W"
"181",377,66,NA,19470101,20150422,252,49.107,7.9967,"Bergzabern, Bad","Rheinland-Pfalz","W"
"182",402,86,NA,18760101,19621231,55,52.4564,13.2997,"Berlin-Dahlem (LFAG)","Berlin","O"
"183",403,65,NA,19500101,20150422,51,52.4578,13.3101,"Berlin-Dahlem (FU)","Berlin","O"
"184",430,52,NA,19630101,20150422,36,52.5644,13.3088,"Berlin-Tegel","Berlin","O"
"185",433,61,NA,19480101,20150422,48,52.4675,13.4021,"Berlin-Tempelhof","Berlin","O"
"186",450,67,NA,19450101,20121203,120,49.9186,7.0664,"Bernkastel-Kues","Rheinland-Pfalz","W"
"187",460,52,NA,19510101,20150422,363,49.264,6.6868,"Berus","Saarland","W"
"188",502,39,NA,19670801,20061231,412,49.8747,9.4883,"Bischbrunn","Bayern","S"
"189",554,35,NA,19470101,20060228,23,51.8293,6.5365,"Bocholt-Liedern (Wasserwerk)","Nordrhein-Westfalen","W"
"190",555,31,NA,19400101,20150422,101,51.4789,7.2697,"Bochum","Nordrhein-Westfalen","W"
"191",591,36,NA,19470101,20150422,45,53.3911,10.6878,"Boizenburg","Mecklenburg-Vorpommern","O"
"192",596,42,NA,19470101,20150422,15,54.0028,11.1908,"Boltenhagen","Mecklenburg-Vorpommern","O"
"193",599,36,NA,19321001,19990301,62,50.7055,7.1467,"Bonn-Friesdorf","Nordrhein-Westfalen","W"
"194",614,48,NA,19510101,20071231,240,51.5709,9.312,"Borgentreich-Bühne","Nordrhein-Westfalen","W"
"195",619,59,NA,19470101,20060228,12,53.5788,6.6703,"Borkum-Süderstraße","Niedersachsen","N"
"196",648,43,NA,19630501,20061231,9,53.8551,9.7152,"Brande-Hörnerkirchen","Schleswig-Holstein","N"
"197",662,52,NA,19610101,20150422,81,52.2914,10.4465,"Braunschweig","Niedersachsen","N"
"198",691,83,NA,18900101,20150422,4,53.0445,8.7985,"Bremen","Bremen","N"
"199",701,65,NA,19490101,20150422,7,53.5332,8.5761,"Bremerhaven","Bremen","N"
"200",706,33,NA,19710501,20041231,234,47.8858,7.6611,"Eschbach","Baden-Württemberg","S"
"201",769,36,NA,19790101,20150422,68,52.2817,9.0889,"Bückeburg","Niedersachsen","N"
"202",772,38,NA,19470101,19860430,190,48.6957,8.1744,"Bühlertal","Baden-Württemberg","S"
"203",848,35,NA,19400101,19781231,38,52.6147,10.0727,"Celle (Stadt)","Niedersachsen","N"
"204",880,41,NA,18870101,20150422,69,51.776,14.3168,"Cottbus","Brandenburg","O"
"205",891,69,NA,19460101,20150422,5,53.8713,8.7058,"Cuxhaven","Niedersachsen","N"
"206",919,37,NA,19370203,19740731,169,49.8697,8.6796,"Darmstadt-Botanischer Garten","Hessen","W"
"207",963,62,NA,19520901,20150422,39,52.5881,8.3424,"Diepholz","Niedersachsen","N"
"208",982,59,NA,19470501,20061130,420,48.5701,10.4985,"Dillingen/Donau","Bayern","S"
"209",1032,50,NA,19500101,19990930,120,51.512,7.5345,"Dortmund","Nordrhein-Westfalen","W"
"210",1072,61,NA,19520101,20150422,107,49.4719,8.1929,"Dürkheim, Bad","Rheinland-Pfalz","W"
"211",1078,45,NA,19690701,20150422,37,51.296,6.7686,"Düsseldorf","Nordrhein-Westfalen","W"
"212",1079,51,NA,19350101,19960731,37,51.1998,6.7574,"Düsseldorf-Südfriedhof","Nordrhein-Westfalen","W"
"213",1087,42,NA,19510101,19931231,21,51.4634,6.7321,"Duisburg-Laar","Nordrhein-Westfalen","W"
"214",1107,52,NA,19630101,20150422,346,49.852,10.499,"Ebrach","Bayern","S"
"215",1161,47,NA,19550101,20150422,384,48.8779,11.2347,"Eichstätt-Landershofen","Bayern","S"
"216",1172,39,NA,19510101,19891130,123,51.8189,9.8871,"Einbeck","Niedersachsen","N"
"217",1219,31,NA,19470101,19970630,5,53.3449,7.1909,"Emden-Nesserland","Niedersachsen","N"
"218",1224,39,NA,19751101,20150422,201,48.1378,7.8351,"Emmendingen-Mundingen","Baden-Württemberg","S"
"219",1229,50,NA,19470101,19970331,90,50.3324,7.6975,"Ems, Bad","Rheinland-Pfalz","W"
"220",1254,55,NA,19470701,20021130,210,49.1307,8.9165,"Eppingen","Baden-Württemberg","S"
"221",1266,50,NA,19640501,20150422,18,54.2989,9.3161,"Erfde","Schleswig-Holstein","N"
"222",1279,65,NA,19490101,20150422,268,49.6497,11.0073,"Möhrendorf-Kleinseebach","Bayern","S"
"223",1292,39,NA,19670101,20060430,470,49.7522,11.8222,"Eschenbach/Oberpfalz","Bayern","S"
"224",1297,67,NA,19470901,20150422,170,51.1834,10.0638,"Eschwege","Hessen","W"
"225",1303,73,NA,19350101,20150422,150,51.404,6.9676,"Essen-Bredeney","Nordrhein-Westfalen","W"
"226",1327,75,NA,19370101,20150422,146,50.7119,6.791,"Weilerswist-Lommersum","Nordrhein-Westfalen","W"
"227",1329,64,NA,19360101,20031231,50,54.134,10.5865,"Eutin","Schleswig-Holstein","N"
"228",1332,47,NA,19660701,20150422,472,48.4832,12.724,"Falkenberg,Kr.Rottal-Inn","Bayern","S"
"229",1420,66,NA,19490101,20150422,100,50.026,8.5215,"Frankfurt/Main","Hessen","W"
"230",1425,47,NA,18700101,19611130,109,50.1213,8.6601,"Frankfurt/Main (Feldbergstr.)","Hessen","W"
"231",1443,57,NA,19490501,20150422,236,48.0233,7.8344,"Freiburg","Baden-Württemberg","S"
"232",1447,39,NA,19470101,19850630,255,48.013,7.8588,"Freiburg im Breisgau-Herdern","Baden-Württemberg","S"
"233",1451,43,NA,19701101,20150422,2,53.8278,9.2486,"Freiburg/Elbe","Niedersachsen","N"
"234",1490,34,NA,19470101,19801130,394,47.6452,9.4795,"Friedrichshafen","Baden-Württemberg","S"
"235",1503,61,NA,19470201,20150422,6,53.0643,7.9022,"Friesoythe-Altenoythe","Niedersachsen","N"
"236",1526,59,NA,19490101,20110425,255,50.5335,9.675,"Fulda","Hessen","W"
"237",1544,39,NA,19470101,20150422,47,52.5129,11.3941,"Gardelegen","Sachsen-Anhalt","O"
"238",1580,76,NA,19350101,20150422,110,49.9859,7.9549,"Geisenheim","Hessen","W"
"239",1590,51,NA,19631001,20150422,37,51.4943,6.2463,"Geldern-Walbeck","Nordrhein-Westfalen","W"
"240",1593,33,NA,19350101,19740430,190,50.2027,9.1989,"Gelnhausen","Hessen","W"
"241",1602,41,NA,19700101,20150422,176,48.4329,7.9931,"Ohlsbach","Baden-Württemberg","S"
"242",1619,50,NA,19560101,20051231,90,49.7611,8.4876,"Gernsheim","Hessen","W"
"243",1638,35,NA,19490101,19840430,158,50.591,8.6551,"Gießen (Lahntal)","Hessen","W"
